modeli,year,type,stype,size,emp,make,count
NIKON+CORPORATION+NIKON+D300S,2009.0,dslr,cmos,372.88,12.0,NIKON,11
NIKON+CORPORATION+NIKON+D5000,2009.0,dslr,cmos,372.88,12.0,NIKON,39
NIKON+CORPORATION+NIKON+D3S,2009.0,dslr,cmos,860.4,12.0,NIKON,1
NIKON+COOLPIX+P100,2010.0,b,bsi-cmos,28.0735,10.0,NIKON,1
NIKON+COOLPIX+S8100,2010.0,c,bsi-cmos,28.0735,12.0,NIKON,1
NIKON+COOLPIX+P7000,2010.0,c,ccd,41.5152,10.0,NIKON,34
NIKON+CORPORATION+NIKON+D3100,2010.0,dslr,cmos,355.74,14.0,NIKON,24
NIKON+CORPORATION+NIKON+D7000,2010.0,dslr,cmos,370.52,16.0,NIKON,72
NIKON+COOLPIX+P7100,2011.0,c,ccd,41.5152,10.0,NIKON,2
NIKON+1+V1,2011.0,mrls,cmos,116.16,10.0,NIKON,1
NIKON+CORPORATION+NIKON+D5100,2011.0,dslr,cmos,368.16,16.0,NIKON,155
NIKON+D5100,2011.0,dslr,cmos,370.52,16.0,NIKON,2
NIKON+COOLPIX+P7700,2012.0,c,cmos,41.5152,12.0,NIKON,1
NIKON+CORPORATION+NIKON+D3200,2012.0,dslr,cmos,357.28,24.0,NIKON,14
NIKON+CORPORATION+NIKON+D4,2012.0,dslr,cmos,860.4,16.0,NIKON,124
NIKON+CORPORATION+NIKON+D800E,2012.0,dslr,cmos,861.6,36.0,NIKON,6
NIKON+CORPORATION+NIKON+D600,2012.0,dslr,cmos,861.6,24.0,NIKON,30
NIKON+CORPORATION+NIKON+D800,2012.0,dslr,cmos,861.6,36.0,NIKON,45
NIKON+CORPORATION+NIKON+D7100,2013.0,dslr,cmos,366.6,24.0,NIKON,4
Nokia+N95,2007.0,phone,cmos,,5.0,NOKIA,1
Nokia+N73,2007.0,phone,cmos,,3.0,NOKIA,2
Nokia+N8-00,2007.0,webcam,,,,NOKIA,2
NORITSU+KOKI+QSS-29,,,,,,NORITSU,4
NORITSU+KOKI+EZ+Controller,,scan,,,,NORITSU,12
OLYMPUS+OPTICAL+CO.%2CLTD+C3040Z,2000.0,c,ccd,38.277552,3.0,OLYMPUS,1
OLYMPUS+OPTICAL+CO.%2CLTD+C960Z%2CD460Z,2000.0,c,ccd,,1.0,OLYMPUS,5
OLYMPUS+OPTICAL+CO.%2CLTD+C200Z%2CD510Z,2001.0,c,ccd,21.163008,2.0,OLYMPUS,1
OLYMPUS+OPTICAL+CO.%2CLTD+C4100Z%2CC4000Z,2002.0,c,ccd,38.277552,4.0,OLYMPUS,2
OLYMPUS+CORPORATION+X250%2CD560Z%2CC350Z,2003.0,c,ccd,24.745152,3.0,OLYMPUS,1
X-2%2CC-50Z,2003.0,c,ccd,,5.0,OLYMPUS,1
OLYMPUS+CORPORATION+C765UZ,2004.0,c,ccd,24.745152,4.0,OLYMPUS,1
