x,y,distance,size,year,make,type,emp
6.18991462276,3.2687852427,7.0,864.0,2008.0,CANON,dslr,21.0
2.53733747921,-6.52394961021,7.0,864.0,2012.0,CANON,dslr,20.0
-6.77189572978,-1.77240746585,7.0,864.0,2012.0,CANON,dslr,22.0
7.7496046637,-1.98585688214,8.0,864.0,2008.0,CANON,dslr,21.0
-1.20018150305,-7.90946043417,8.0,864.0,2012.0,CANON,dslr,20.0
-5.84378893163,-5.46352733338,8.0,864.0,2008.0,CANON,dslr,21.0
-7.07959308956,-3.72550153487,8.0,864.0,2012.0,CANON,dslr,20.0
-7.98987065894,0.402451057079,8.0,864.0,2012.0,CANON,dslr,20.0
5.46581566151,5.84164866749,8.0,864.0,2012.0,CANON,dslr,20.0
-7.97222241943,-0.666085351205,8.0,864.0,2012.0,CANON,dslr,20.0
2.7515855803,7.511908998,8.0,864.0,2012.0,CANON,dslr,20.0
-1.46072526426,7.86551217038,8.0,864.0,2012.0,CANON,dslr,20.0
3.72827400476,7.07813343654,8.0,864.0,2008.0,CANON,dslr,21.0
6.94960055996,-3.96270766737,8.0,864.0,2012.0,CANON,dslr,20.0
7.41576990666,-3.00105926156,8.0,864.0,2005.0,CANON,dslr,13.0
-2.49606209543,7.60063642176,8.0,864.0,2008.0,CANON,dslr,21.0
7.94514754192,-0.935216839614,8.0,864.0,2008.0,CANON,dslr,21.0
7.99890907403,0.132112169573,8.0,864.0,2012.0,CANON,dslr,20.0
-0.399321756141,7.99002766798,8.0,864.0,2012.0,CANON,dslr,22.0
7.67979780824,2.24069311255,8.0,864.0,2008.0,CANON,dslr,21.0
0.669207658175,7.97196093256,8.0,864.0,2008.0,NIKON,dslr,12.0
7.31261955842,3.24431736946,8.0,864.0,2008.0,CANON,dslr,21.0
1.72579504598,7.81163436544,8.0,864.0,2008.0,NIKON,dslr,12.0
6.81494743935,4.19004670605,8.0,864.0,2008.0,CANON,dslr,21.0
6.19566242178,5.0610045599,8.0,864.0,2012.0,CANON,dslr,22.0
6.35941542662,-4.85364146097,8.0,864.0,2008.0,NIKON,dslr,12.0
4.63843129127,6.51804841622,8.0,864.0,2008.0,NIKON,dslr,12.0
5.65574637434,-5.65796190771,8.0,864.0,2012.0,CANON,dslr,20.0
7.90992988422,1.19708363396,8.0,864.0,2008.0,CANON,dslr,21.0
3.95998552,-6.95115203987,8.0,864.0,2008.0,CANON,dslr,21.0
4.85115039403,-6.36131589017,8.0,864.0,2012.0,CANON,dslr,20.0
-3.48685663938,7.20012713613,8.0,864.0,2012.0,CANON,dslr,22.0
-4.41542814399,6.67113141118,8.0,864.0,2012.0,CANON,dslr,20.0
-5.26520622877,6.02308918816,8.0,864.0,2012.0,CANON,dslr,20.0
-6.66940157652,4.41804058504,8.0,864.0,2012.0,CANON,dslr,20.0
-7.19876094025,3.48967633529,8.0,864.0,2012.0,CANON,dslr,20.0
-7.59965824446,2.49903872866,8.0,864.0,2012.0,CANON,dslr,22.0
-7.86493946726,1.46380571672,8.0,864.0,2008.0,CANON,dslr,21.0
-7.81230968198,-1.72273545062,8.0,864.0,2008.0,CANON,dslr,21.0
-6.02102658366,5.26756479589,8.0,864.0,2008.0,CANON,dslr,21.0
-6.51986457953,-4.63587811149,8.0,864.0,2012.0,CANON,dslr,22.0
-5.0634307318,-6.19367978057,8.0,864.0,2012.0,CANON,dslr,20.0
-4.1927154906,-6.81330586535,8.0,864.0,2012.0,CANON,dslr,20.0
-3.24718114215,-7.31134834556,8.0,864.0,2012.0,CANON,dslr,20.0
-2.24370076929,-7.67891964132,8.0,864.0,2012.0,CANON,dslr,20.0
2.99815461056,-7.41694471674,8.0,864.0,2008.0,CANON,dslr,21.0
-0.135244969449,-7.9988567182,8.0,864.0,2012.0,CANON,dslr,20.0
0.932105013832,-7.94551321459,8.0,864.0,2012.0,CANON,dslr,20.0
1.98282156106,-7.75038183943,8.0,864.0,2012.0,CANON,dslr,20.0
-7.51298609318,-2.7486432951,8.0,864.0,2012.0,CANON,dslr,22.0
1.55815883672,-8.86409279281,9.0,864.0,2012.0,CANON,dslr,22.0
8.90637343848,1.29480198267,9.0,864.0,2012.0,CANON,dslr,20.0
-5.84930973622,6.83999821709,9.0,864.0,2008.0,CANON,dslr,21.0
-7.29228322952,5.27471376479,9.0,864.0,2012.0,CANON,dslr,20.0
-7.86495651635,4.37520959451,9.0,864.0,2012.0,CANON,dslr,20.0
-8.32722305389,3.4142870721,9.0,864.0,2012.0,CANON,dslr,20.0
-8.67259363326,2.4054354434,9.0,864.0,2012.0,CANON,dslr,22.0
-8.89622000857,1.36281677386,9.0,864.0,2008.0,NIKON,dslr,12.0
-8.99496295572,0.301067144148,9.0,864.0,2008.0,CANON,dslr,21.0
-8.96743634017,-0.764908808323,9.0,864.0,2012.0,CANON,dslr,22.0
-8.81402657526,-1.82014711783,9.0,864.0,2012.0,CANON,dslr,22.0
-6.61724227102,6.10017251613,9.0,864.0,2012.0,CANON,dslr,20.0
-8.53688719783,-2.84983455161,9.0,864.0,2012.0,CANON,dslr,20.0
0.498837907504,-8.98616496299,9.0,864.0,2012.0,CANON,dslr,20.0
