local_path,ISO,aperture,focal,model,date,moon,galaxy
/Users/damoncrockett/Desktop/astrophotography_data/images/3197643866_b62053620b.jpg,200,2.8,5.8,DiMAGE+Z1,2005-12-11,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/73197446_717cef4b99.jpg,missing,2.6,5.812,Canon+PowerShot+A510,2005-12-12,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/74020914_63e5b3a89e.jpg,missing,4.5,72.0,Canon+PowerShot+S2+IS,2005-12-15,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/74021012_75d3c05b4b.jpg,missing,3.5,72.0,Canon+PowerShot+S2+IS,2005-12-15,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/217708762_2c108b23a0.jpg,400,2.8,7.8,X-3%2CC-60Z,2005-12-18,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/79231909_325dbb5165.jpg,800,5.6,18.0,Canon+EOS+DIGITAL+REBEL+XT,2005-12-29,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/79255236_123b852727.jpg,missing,missing,missing,missing,2005-12-30,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/5215229754_186a2eca76.jpg,400,5.6,7.8,FinePix+S602+ZOOM,2006-01-01,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/107805597_67f79d46ee.jpg,80,9,88.8,DMC-FZ30,2006-01-05,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/87192522_fd074dee05.jpg,missing,3.5,72.0,Canon+PowerShot+S2+IS,2006-01-13,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/91217735_a323a98490.jpg,800,5.6,300.0,Canon+EOS+DIGITAL+REBEL,2006-01-22,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/93864204_a3932a4dba.jpg,missing,3.5,72.0,Canon+PowerShot+S2+IS,2006-01-31,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/94345602_b63a435faf.jpg,missing,3.5,72.0,Canon+PowerShot+S2+IS,2006-02-01,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/96024281_2f8e35e1ce.jpg,missing,2.8,5.4,Canon+PowerShot+A410,2006-02-05,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/5215051785_9317e3239c.jpg,160,5.6,26.1,FinePix+S602+ZOOM,2006-02-17,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/114855835_b9cabc2186.jpg,missing,missing,missing,missing,2006-02-19,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/112911176_08de65b3b6.jpg,missing,missing,missing,missing,2006-03-15,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/166028488_e24c7c9d1b.jpg,100,3.5,18.0,Canon+EOS+DIGITAL+REBEL,2006-03-29,nope,nope
