model,count,year,type,stype,size,emp,make
Canon+PowerShot+SX120+IS,3,2009,c,ccd,24.745152,10,CANON
LEICA+D-LUX+6,3,2012,c,cmos,41.5152,10,LEICA
SONY+DSC-W230,3,2009,c,ccd,28.0735,12,SONY
PENTAX+Corporation+PENTAX+K10D,3,2006,dslr,ccd,368.95,10,PENTAX
SONY+DSC-RX100,3,2012,c,cmos,116.16,20,SONY
Minolta+Co.%2C+Ltd.+DiMAGE+G500,3,2003,c,ccd,38.277552,5,MINOLTA
Hewlett-Packard+HP+PhotoSmart+C850+%28V05.32%29,3,2002,c,ccd,38.16,4,HP
Panasonic+DMC-LX3,3,2008,c,ccd,44.8692,10,PANASONIC
Panasonic+DMC-LZ5,3,2006,c,ccd,24.745152,6,PANASONIC
Nikon+D300,3,2007,dslr,cmos,372.88,12,NIKON
Sony+Ericsson+LT18i,3,2011,phone,cmos,9.72,8,ERICSSON
OLYMPUS+IMAGING+CORP.+E-PL1,3,2010,mrls,cmos,224.9,12,OLYMPUS
CASIO+COMPUTER+CO.%2CLTD.+EX-F1,2,2008,c,cmos,38.277552,6,CASIO
KONICA+MINOLTA+DiMAGE+Z3,2,2004,c,ccd,24.745152,4,MINOLTA
NIKON+D40,2,2006,dslr,ccd,367.35,6,NIKON
Canon+PowerShot+SD550,2,2005,c,ccd,38.277552,7,CANON
OLYMPUS+OPTICAL+CO.%2CLTD+C4100Z%2CC4000Z,2,2002,c,ccd,38.277552,4,OLYMPUS
SONY+DSC-W110,2,2008,c,ccd,24.745152,7,SONY
NIKON+COOLPIX+P7100,2,2011,c,ccd,41.5152,10,NIKON
OLYMPUS+IMAGING+CORP.+Olympus+E-500,2,2005,dslr,ccd,224.9,8,OLYMPUS
Canon+EOS-1D+Mark+IV,2,2009,dslr,cmos,518.94,16,CANON
DMC-FZ30,2,2005,c,ccd,38.277552,8,PANASONIC
FinePix+S5700+S700,2,2007,c,ccd,24.745152,7,FUJIFILM
Canon+DIGITAL+IXUS+860+IS,2,2007,c,ccd,24.745152,8,CANON
Panasonic+DMC-G3,2,2011,mrls,cmos,224.9,16,PANASONIC
Panasonic+DMC-G2,2,2010,mrls,cmos,224.9,12,PANASONIC
Canon+PowerShot+A40,2,2002,c,ccd,21.163008,2,CANON
Panasonic+DMC-FZ40,2,2010,b,ccd,27.7248,14,PANASONIC
Canon+EOS+Kiss+Digital+X,2,2006,dslr,cmos,328.56,10,CANON
Nokia+N8-00,2,2007,webcam,,,,NOKIA
OLYMPUS+IMAGING+CORP.+E-620,2,2009,dslr,cmos,224.9,12,OLYMPUS
PENTAX+K200D,2,2008,dslr,ccd,368.95,10,PENTAX
NIKON+D5100,2,2011,dslr,cmos,370.52,16,NIKON
Canon+PowerShot+A560,2,2007,c,ccd,24.745152,7,CANON
Apple+iPhone,2,,phone,cmos,,,APPLE
BenQ+DC1500,2,2002,c,cmos,,1,BENQ
PENTAX+K-7,2,2009,dslr,cmos,365.04,15,PENTAX
Canon+PowerShot+A70,2,2003,c,ccd,21.163008,3,CANON
Canon+PowerShot+A620,2,2005,c,ccd,38.277552,7,CANON
SIGMA+SD9,2,2002,dslr,cmos,285.66,3,SIGMA
HTC+ADR6300,2,2010,phone,cmos,,8,HTC
HTC+Desire,2,2010,phone,cmos,,5,HTC
SONY+NEX-7,2,2011,mrls,cmos,366.6,24,SONY
Canon+PowerShot+SX210+IS,2,2010,c,ccd,28.0735,14,CANON
Samsung+Electronics+S7220,2,2009,phone,cmos,,5,SAMSUNG
Canon+Canon+PowerShot+S2+IS,2,2005,c,ccd,24.745152,5,CANON
OLYMPUS+IMAGING+CORP.+E-410,2,2007,dslr,cmos,224.9,10,OLYMPUS
Canon+PowerShot+A550,2,2007,c,ccd,24.745152,7,CANON
NIKON+E2100,2,2003,c,ccd,15.485952,2,NIKON
Hewlett-Packard+Company+hp+PhotoSmart+620,2,2002,c,ccd,17.28,2,HP
GENERAL+IMAGING+CO.+X5,2,2011,b,ccd,28.4592,14,GE
SBIG+STL-4020M,2,2003,astro,ccd,225,4,SBIG
Nokia+N73,2,2007,phone,cmos,,3,NOKIA
NIKON+E5700,2,2002,c,ccd,58.08,5,NIKON
Canon+PowerShot+A520,2,2005,c,ccd,24.745152,4,CANON
Panasonic+DMC-FZ28,2,2008,c,ccd,27.7248,10,PANASONIC
Canon+PowerShot+ELPH+300+HS,2,2011,c,bsi-cmos,28.0735,12,CANON
SONY+DSLR-A500,2,2009,dslr,cmos,366.6,12,SONY
X-2%2CC-50Z,1,2003,c,ccd,,5,OLYMPUS
Leica+Camera+AG+M9+Digital+Camera,1,2002,c,ccd,38.277552,5,LEICA
Nokia+N95,1,2007,phone,cmos,,5,NOKIA
Panasonic+DMC-GH2,1,2010,mrls,cmos,224.9,16,PANASONIC
Apple+iPhone+5s,1,2013,phone,bsi-cmos,17.9463,8,APPLE
NIKON+1+V1,1,2011,mrls,cmos,116.16,10,NIKON
NIKON+COOLPIX+P100,1,2010,b,bsi-cmos,28.0735,10,NIKON
