user_nid,lat,lon
9157091@N04,47.055972,6.850522
9157091@N04,47.065327,6.840534
9157091@N04,47.065327,6.840534
9157091@N04,47.065327,6.840534
9157091@N04,46.968766,6.584951
9157091@N04,47.065327,6.840534
9157091@N04,46.968766,6.584951
9157091@N04,47.132067,7.053329
9157091@N04,47.132067,7.053329
9157091@N04,47.132067,7.053329
9157091@N04,46.290538,7.39279
9157091@N04,46.290538,7.39279
9157091@N04,46.290538,7.39279
9157091@N04,46.290538,7.39279
9157091@N04,46.342661,7.385215
9157091@N04,46.342661,7.385215
9157091@N04,46.342661,7.385215
9157091@N04,46.342661,7.385215
9157091@N04,46.342661,7.385215
9157091@N04,46.342661,7.385215
9157091@N04,46.342661,7.385215
9157091@N04,46.342661,7.385215
9157091@N04,46.342661,7.385215
9157091@N04,46.342661,7.385215
9157091@N04,46.342661,7.385215
9157091@N04,46.342661,7.385215
9157091@N04,46.392647,8.02946
9157091@N04,46.342661,7.385215
9157091@N04,46.342661,7.385215
9157091@N04,46.342661,7.385215
9157091@N04,46.342661,7.385215
9157091@N04,46.342661,7.385215
9157091@N04,46.342661,7.385215
9157091@N04,46.342661,7.385215
9157091@N04,46.342661,7.385215
9157091@N04,46.392647,8.02946
9157091@N04,47.131775,7.052514
9157091@N04,46.392647,8.02946
9157091@N04,46.392647,8.02946
9157091@N04,46.392647,8.02946
9157091@N04,46.392647,8.02946
9157091@N04,46.023101,7.481474
9157091@N04,46.023101,7.481474
9157091@N04,46.02623,7.476282
9157091@N04,46.408392,8.067054
9157091@N04,46.408392,8.067054
9157091@N04,47.108691,6.845528
9157091@N04,46.392647,8.02946
9157091@N04,47.126052,6.823496
9157091@N04,47.126052,6.823496
9157091@N04,47.053531,6.852464
9157091@N04,46.023101,7.481474
9157091@N04,47.108829,6.845383
9157091@N04,47.053531,6.852464
9157091@N04,47.137366,7.064552
9157091@N04,47.137366,7.064552
9157091@N04,46.392647,8.02946
9157091@N04,47.137366,7.064552
9157091@N04,47.108829,6.845383
9157091@N04,47.126052,6.823496
9157091@N04,47.126052,6.823496
9157091@N04,46.006038,7.779521
9157091@N04,46.006038,7.779521
9157091@N04,46.006038,7.779521
9157091@N04,46.006038,7.779521
9157091@N04,46.006038,7.779521
9157091@N04,46.006038,7.779521
9157091@N04,46.408392,8.067054
9157091@N04,46.408392,8.067054
9157091@N04,46.408392,8.067054
9157091@N04,46.408392,8.067054
9157091@N04,46.408392,8.067054
9157091@N04,46.023101,7.481474
9157091@N04,46.408392,8.067054
9157091@N04,46.02623,7.476282
9157091@N04,47.132067,7.053329
9157091@N04,46.408392,8.067054
9157091@N04,46.408392,8.067054
9157091@N04,46.02623,7.476282
9157091@N04,46.023101,7.481474
9157091@N04,46.408392,8.067054
9157091@N04,46.408392,8.067054
89086955@N00,53.762589,-1.851174
89086955@N00,53.762589,-1.851174
89086955@N00,53.762589,-1.851174
89086955@N00,53.762589,-1.851174
89086955@N00,53.762589,-1.851174
89086955@N00,53.762589,-1.851174
89086955@N00,53.762589,-1.851174
89086955@N00,53.762488,-1.851228
89086955@N00,53.766139,-1.845759
89086955@N00,53.766139,-1.845759
89086955@N00,53.761828,-1.842334
89086955@N00,53.762589,-1.851174
89086955@N00,53.762488,-1.851228
89086955@N00,53.762589,-1.851174
89086955@N00,53.762589,-1.851174
89086955@N00,53.762589,-1.851174
89086955@N00,53.762589,-1.851174
89086955@N00,53.761955,-1.850938
86946402@N02,51.532561,-0.157681
86946402@N02,32.34856,72.773748
86946402@N02,51.549243,-0.191402
86946402@N02,32.410472,72.760648
86946402@N02,32.410472,72.760648
86946402@N02,32.410472,72.760648
86946402@N02,51.549243,-0.191402
86946402@N02,32.348578,72.773705
86946402@N02,32.348506,72.773727
86946402@N02,51.549243,-0.191402
86946402@N02,51.902189,-3.192032
86946402@N02,51.902189,-3.192032
86946402@N02,51.549243,-0.191402
86946402@N02,51.549203,-0.19138
86946402@N02,51.549257,-0.191466
86946402@N02,51.902189,-3.192032
86946402@N02,51.549257,-0.191466
86946402@N02,51.549243,-0.191402
86946402@N02,51.549217,-0.191402
86946402@N02,46.591782,4.799308
86946402@N02,51.549257,-0.191466
86946402@N02,51.549243,-0.191402
86946402@N02,51.549257,-0.191466
86946402@N02,51.54919,-0.191402
86946402@N02,51.902189,-3.192032
86946402@N02,51.902189,-3.192032
86946402@N02,51.549257,-0.191466
86946402@N02,51.549243,-0.191402
86946402@N02,51.902189,-3.192032
86946402@N02,51.549243,-0.191402
86946402@N02,51.549257,-0.191466
86946402@N02,51.902189,-3.192032
86946402@N02,51.902189,-3.192032
86946402@N02,51.902189,-3.192032
86946402@N02,51.902189,-3.192032
86946402@N02,51.902189,-3.192032
86946402@N02,51.902189,-3.192032
86946402@N02,51.902189,-3.192032
86946402@N02,51.902189,-3.192032
86946402@N02,51.549257,-0.191466
86946402@N02,51.902189,-3.192032
86946402@N02,51.549243,-0.191402
86946402@N02,51.549243,-0.191402
86946402@N02,51.902189,-3.192032
86946402@N02,51.902189,-3.192032
86946402@N02,51.902189,-3.192032
86946402@N02,51.549257,-0.191466
86946402@N02,51.902189,-3.192032
86946402@N02,51.902189,-3.192032
86946402@N02,51.54923,-0.19138
86946402@N02,51.549257,-0.191466
86946402@N02,51.549243,-0.191402
86946402@N02,51.549257,-0.19138
86946402@N02,51.54923,-0.19138
86946402@N02,51.54927,-0.191402
86946402@N02,32.410472,72.760648
86946402@N02,32.410472,72.760648
86946402@N02,32.410472,72.760648
