lon,lat,ISO,size,make,secpast,views,type,x,y
-82.763981,33.561177,1600,372.88,SONY,571787873.0,38,dslr,15.0,1.0
-82.763989,33.561194,1600,372.88,SONY,571796736.0,38,dslr,15.0,1.0
-82.763989,33.561194,1600,372.88,SONY,571796966.0,44,dslr,31.0,41.0
-82.763981,33.561161,1600,372.88,SONY,571788172.0,43,dslr,32.0,41.0
-82.763987,33.561188,1600,372.88,SONY,571797742.0,50,dslr,6.0,8.0
-82.763981,33.561163,1600,372.88,SONY,571786116.0,35,dslr,31.0,41.0
-82.764023,33.561136,1600,372.88,SONY,571784423.0,31,dslr,34.0,44.0
-82.763989,33.561166,1600,372.88,SONY,571784284.0,37,dslr,7.0,8.0
-82.763989,33.561169,3200,372.88,SONY,571784209.0,39,dslr,15.0,0.0
-84.186223,34.753305,1000,852.04,SONY,582235800.0,212,dslr,15.0,0.0
-84.186223,34.753305,1250,852.04,SONY,582235887.0,226,dslr,6.0,8.0
-84.186228,34.753311,1000,852.04,SONY,582236846.0,133,dslr,14.0,2.0
-84.186237,34.753302,1000,852.04,SONY,582237003.0,194,dslr,25.0,47.0
-84.518489,34.543,1000,852.04,SONY,582244714.0,207,dslr,18.0,3.0
-84.186237,34.753302,1000,852.04,SONY,582237066.0,368,dslr,25.0,48.0
-84.186223,34.753311,1250,852.04,SONY,582236751.0,291,dslr,24.0,48.0
-84.186237,34.753302,1000,852.04,SONY,582237195.0,260,dslr,15.0,1.0
-82.763987,33.561163,3200,372.88,SONY,571783948.0,38,dslr,26.0,49.0
-84.186237,34.753302,1000,852.04,SONY,582237252.0,229,dslr,6.0,8.0
-84.518489,34.543002,1000,852.04,SONY,582244769.0,123,dslr,15.0,1.0
-82.76405,33.561183,1600,366.6,SONY,571781787.0,81,dslr,15.0,0.0
-82.76405,33.561186,1600,366.6,SONY,571781626.0,100,dslr,29.0,40.0
-82.763987,33.561236,1600,372.88,SONY,571780345.0,35,dslr,29.0,40.0
-82.763981,33.561202,1600,372.88,SONY,571787224.0,37,dslr,29.0,40.0
-82.764048,33.56118,2000,366.6,SONY,571781465.0,93,dslr,29.0,40.0
-82.763984,33.561211,3200,372.88,SONY,571780543.0,34,dslr,29.0,40.0
6.489143,44.845402,6400,332.27,CANON,609450319.0,674,dslr,31.0,41.0
6.48957,44.84587,6400,332.27,CANON,609199746.0,420,dslr,26.0,49.0
-80.195689,25.768001,200,332.27,CANON,552602506.0,1167,dslr,26.0,49.0
-80.248796,25.750521,400,332.27,CANON,516917780.0,351,dslr,26.0,49.0
-80.201568,25.773223,400,332.27,CANON,516920303.0,477,dslr,26.0,49.0
149.279136,-37.781298,3200,328.56,CANON,473901713.0,260,dslr,29.0,41.0
