x,y,phi,radius,distance,phibin,size,year,make,type,emp
-15.8631618141,-2.08808459096,-3.01071404534,16,16.0,7,864.0,2008.0,CANON,dslr,21.0
-19.8193260733,-2.6822218401,-3.00707625702,20,20.0,7,864.0,2012.0,CANON,dslr,22.0
-21.8016035975,-2.94789426149,-3.00719321093,22,22.0,7,864.0,2012.0,CANON,dslr,20.0
-22.8115684501,-2.93808523496,-3.01349981815,23,23.0,7,864.0,2012.0,CANON,dslr,20.0
-25.7613166514,-3.51490602779,-3.00598875194,26,26.0,7,864.0,2008.0,CANON,dslr,21.0
-26.7543711566,-3.63367912969,-3.00660234426,27,27.0,7,864.0,2008.0,CANON,dslr,21.0
-28.7459840609,-3.82993477345,-3.00913898288,29,29.0,7,864.0,2008.0,CANON,dslr,21.0
-30.7430023637,-3.98344143461,-3.01273826741,31,31.0,7,864.0,2008.0,CANON,dslr,21.0
-31.7124766237,-4.28004981179,-3.00743906105,32,32.0,7,864.0,2012.0,CANON,dslr,22.0
-32.6949588642,-4.47656842551,-3.00551953429,33,33.0,7,864.0,2008.0,CANON,dslr,21.0
-33.6882783953,-4.59346261121,-3.00607640799,34,34.0,7,864.0,2008.0,CANON,dslr,21.0
-34.7055656089,-4.53031078046,-3.0117910166,35,35.0,7,864.0,2008.0,CANON,dslr,21.0
-9.88691039824,-1.49966755554,-2.99105800561,10,10.0,8,864.0,2008.0,CANON,dslr,21.0
-14.8379443256,-2.19895615911,-2.99446535341,15,15.0,8,864.0,2012.0,CANON,dslr,22.0
-23.7284257655,-3.60025147589,-2.99101378274,24,24.0,8,864.0,2008.0,CANON,dslr,21.0
-24.6930493877,-3.90554886496,-2.98472817666,25,25.0,8,864.0,2008.0,CANON,dslr,21.0
-27.6847277193,-4.18997029941,-2.99138667355,28,28.0,8,864.0,2008.0,CANON,dslr,21.0
-29.7026553381,-4.21334378677,-3.00068200759,30,30.0,8,864.0,2012.0,CANON,dslr,22.0
-13.7927624183,-2.39993851421,-2.96931758769,14,14.0,9,864.0,2008.0,CANON,dslr,21.0
-17.7298230524,-3.10698801559,-2.96811337176,18,18.0,9,864.0,2012.0,CANON,dslr,22.0
-18.7464415477,-3.09369185593,-2.97803856407,19,19.0,9,864.0,2012.0,CANON,dslr,22.0
-20.7204041786,-3.41538441138,-2.97822964534,21,21.0,9,864.0,2012.0,CANON,dslr,22.0
-22.6580408747,-3.95135213812,-2.96893822023,23,23.0,9,864.0,2012.0,CANON,dslr,22.0
-25.6034610468,-4.52358070807,-2.96671884377,26,26.0,9,864.0,2012.0,CANON,dslr,22.0
-26.5987564483,-4.6374729545,-2.96897848014,27,27.0,9,864.0,2008.0,CANON,dslr,21.0
-28.5938673914,-4.83639820588,-2.97403738898,29,29.0,9,864.0,2008.0,CANON,dslr,21.0
-29.5424550541,-5.21951620162,-2.96671884377,30,30.0,9,864.0,2008.0,CANON,dslr,21.0
-30.596207625,-4.98719149071,-2.98001334393,31,31.0,9,864.0,2005.0,CANON,dslr,13.0
-31.5607136,-5.28406633749,-2.97570580192,32,32.0,9,864.0,2005.0,CANON,dslr,13.0
-32.5415961029,-5.48128845007,-2.97471960631,33,33.0,9,864.0,2008.0,CANON,dslr,21.0
-33.5357850341,-5.59920727828,-2.97615647795,34,34.0,9,864.0,2008.0,CANON,dslr,21.0
-34.5598626376,-5.53316315219,-2.9828362456,35,35.0,9,864.0,2008.0,CANON,dslr,21.0
-16.7171826112,-3.08800996478,-2.95893094131,17,17.0,10,864.0,2008.0,CANON,dslr,21.0
-19.6565170538,-3.690709595,-2.95599344964,20,20.0,10,864.0,2008.0,CANON,dslr,21.0
-21.6408431873,-3.95902843401,-2.96065109754,22,22.0,10,864.0,2008.0,CANON,dslr,21.0
-27.514328655,-5.19246749291,-2.95506768334,28,28.0,10,864.0,2008.0,CANON,dslr,21.0
-34.3851874357,-6.53137696153,-2.9538814746,35,35.0,10,864.0,2008.0,CANON,dslr,21.0
-7.84567037717,-1.56379548943,-2.94485145807,8,8.0,11,864.0,2008.0,CANON,dslr,21.0
-8.82163922371,-1.78288569646,-2.94217515116,9,9.0,11,864.0,2008.0,CANON,dslr,21.0
-10.7882388782,-2.14799951277,-2.94505717568,11,11.0,11,864.0,2008.0,CANON,dslr,21.0
-11.7694233648,-2.34108386419,-2.94524311274,12,12.0,11,864.0,2008.0,CANON,dslr,21.0
-12.7162406125,-2.70133757352,-2.93227223722,13,13.0,11,864.0,2008.0,CANON,dslr,21.0
-15.6947326711,-3.11052509782,-2.94593893908,16,16.0,11,864.0,2008.0,CANON,dslr,21.0
-23.5542466476,-4.60407046708,-2.94855982796,24,24.0,11,864.0,2008.0,CANON,dslr,21.0
-24.5131979998,-4.90949323471,-2.94392827207,25,25.0,11,864.0,2008.0,CANON,dslr,21.0
-26.4054941747,-5.63470295492,-2.93135461603,27,27.0,11,864.0,2008.0,CANON,dslr,21.0
-28.406523209,-5.83690321801,-2.93893579509,29,29.0,11,864.0,2008.0,CANON,dslr,21.0
-29.3481809271,-6.21966850154,-2.93275567995,30,30.0,11,864.0,2008.0,CANON,dslr,21.0
-30.4166497009,-5.98560113724,-2.94728842046,31,31.0,11,864.0,2012.0,CANON,dslr,22.0
-31.377171613,-6.2827622563,-2.94397254279,32,32.0,11,864.0,2008.0,CANON,dslr,21.0
-32.3573656666,-6.48080914052,-2.94391967834,33,33.0,11,864.0,2012.0,CANON,dslr,22.0
-33.3532726035,-6.59993989651,-2.94623654792,34,34.0,11,864.0,2012.0,CANON,dslr,20.0
-5.86216885595,-1.2786619195,-2.92683534329,6,6.0,12,864.0,2008.0,CANON,dslr,21.0
-14.6508810428,-3.217403405,-2.92541936102,15,15.0,12,864.0,2008.0,CANON,dslr,21.0
-18.5514591756,-4.10406657556,-2.92387317349,19,19.0,12,864.0,2008.0,CANON,dslr,21.0
