x,y,distance,count,size,year,make
-3.10050339097,-7.37474601072,8.0,2.0,28.0735,2010.0,CANON
-3.629969647,7.12904764761,8.0,8.0,38.16,2001.0,NIKON
-0.558827400394,7.98045812824,8.0,216.0,38.16,2007.0,NIKON
-1.04196596174,-7.93185394057,8.0,1.0,28.0735,2008.0,CANON
-2.08988167031,-7.72220140919,8.0,1.0,28.0735,2011.0,FUJIFILM
-4.54779025549,6.58161103318,8.0,1.0,30.72,2005.0,SAMSUNG
-5.38445543913,5.91672541394,8.0,1.0,30.72,1999.0,FUJIFILM
-6.1250348879,5.14625568952,8.0,11.0,28.52,2009.0,KODAK
-7.26702443554,3.34519892581,8.0,1.0,28.4592,2011.0,KODAK
-7.45658857447,-2.8981523133,8.0,1.0,28.0735,2009.0,SONY
-7.64805570388,2.34675178713,8.0,1.0,28.0735,2008.0,CANON
-7.89260723699,1.30642680721,8.0,6.0,28.0735,2011.0,SONY
-4.93871393374,-6.29357646181,8.0,1.0,28.0735,2010.0,CANON
-5.73349984517,-5.57915580759,8.0,1.0,28.0735,2012.0,OLYMPUS
-6.42597131604,-4.76517498581,8.0,1.0,28.0735,2011.0,CANON
-7.95732834624,-0.825182155771,8.0,1.0,28.0735,2008.0,FUJIFILM
-7.77634297264,-1.87842752639,8.0,7.0,28.0735,2008.0,CANON
-7.00377117654,-3.86615950352,8.0,1.0,28.0735,2010.0,NIKON
-4.05579655516,-6.89568809497,8.0,1.0,28.0735,2010.0,NIKON
2.13722486596,-7.70923276807,8.0,1.0,38.277552,2002.0,LEICA
-1.6175322227,7.83476799328,8.0,3.0,38.16,2002.0,HP
-2.64737214416,7.54926623787,8.0,4.0,38.16,2001.0,NIKON
0.0245436541022,-7.99996235048,8.0,1.0,38.277552,2004.0,SONY
1.09061528786,-7.92531124271,8.0,1.0,38.277552,2004.0,CANON
3.14569561571,-7.35558285205,8.0,2.0,38.277552,2005.0,CANON
4.97723762305,-6.263154608,8.0,1.0,38.277552,2003.0,CANON
5.76762497013,-5.54387068788,8.0,2.0,38.277552,2005.0,PANASONIC
6.45508891299,-4.72565626399,8.0,5.0,38.277552,2006.0,PANASONIC
7.02736164127,-3.82311239212,8.0,1.0,38.277552,2000.0,OLYMPUS
7.47423093459,-2.85234498904,8.0,1.0,38.277552,2005.0,CANON
4.09803135266,-6.87067238577,8.0,1.0,38.277552,2004.0,OLYMPUS
7.8844425767,1.35483034168,8.0,1.0,38.277552,2005.0,PANASONIC
7.63351233313,2.39363519777,8.0,3.0,38.277552,2000.0,NIKON
7.24636188113,3.38972557706,8.0,6.0,38.277552,2002.0,NIKON
6.09334275457,5.18374132026,8.0,3.0,38.277552,2003.0,MINOLTA
5.34804973364,5.94965243073,8.0,1.0,38.277552,2005.0,NIKON
3.58615829983,7.15118652033,8.0,1.0,38.277552,2003.0,CANON
2.60100088131,7.56536809517,8.0,2.0,38.277552,2002.0,OLYMPUS
7.7877223998,-1.83067742205,8.0,1.0,38.277552,2005.0,NIKON
1.56942854045,7.84454549712,8.0,1.0,38.1976,2002.0,SONY
8.94810819597,-0.965069797024,9.0,2.0,27.7248,2008.0,PANASONIC
-7.21394337609,5.38135865433,9.0,2.0,24.745152,2008.0,SONY
-6.52683904826,6.19680337256,9.0,5.0,24.745152,2007.0,PANASONIC
-5.74811220719,6.92525855499,9.0,7.0,24.745152,2006.0,CANON
-4.88869447076,7.55649828767,9.0,1.0,24.745152,2008.0,NIKON
-1.95157325224,8.78586147405,9.0,6.0,24.745152,2006.0,SONY
-2.97700704278,8.49337559909,9.0,8.0,24.745152,2007.0,CANON
-0.898743651153,8.95501311275,9.0,1.0,24.745152,2005.0,PENTAX
0.166702340731,8.99845599698,9.0,6.0,24.745152,2007.0,PANASONIC
-7.79977975208,4.49037145668,9.0,2.0,24.745152,2007.0,FUJIFILM
-3.96065018011,8.08166134844,9.0,7.0,24.745152,2006.0,PANASONIC
-8.27612431768,3.5363492868,9.0,3.0,24.745152,2006.0,PANASONIC
-6.38749392392,-6.34034079304,9.0,1.0,24.745152,2006.0,SONY
-8.87522157704,1.49346642358,9.0,2.0,24.745152,2007.0,CANON
-8.98956425852,0.433283327604,9.0,2.0,24.745152,2005.0,CANON
-8.97771316317,-0.632982116528,9.0,2.0,24.745152,2007.0,CANON
-8.8398346544,-1.69036187926,9.0,1.0,24.745152,2008.0,CANON
-8.57786424424,-2.72401266652,9.0,1.0,24.745152,2007.0,SONY
-8.195479423,-3.71942428706,9.0,2.0,24.745152,2007.0,CANON
-7.09255292766,-5.54036938915,9.0,1.0,24.745152,2003.0,OLYMPUS
1.22980819717,8.91558028387,9.0,8.0,24.745152,2004.0,KODAK
-4.71953287981,-7.66328972416,9.0,2.0,24.745152,2004.0,MINOLTA
-3.7800453563,-8.16769594833,9.0,2.0,24.745152,2005.0,CANON
-2.78749428195,-8.55744562519,9.0,1.0,24.745152,2005.0,FUJIFILM
-8.63629023935,2.5326845247,9.0,1.0,24.745152,2007.0,SAMSUNG
2.27565024229,8.70754936677,9.0,6.0,24.745152,2005.0,CANON
-7.69804803538,-4.66262334368,9.0,1.0,24.745152,2009.0,PANASONIC
4.25726601914,7.929419023,9.0,11.0,24.745152,2006.0,CANON
3.28954714629,8.37728354375,9.0,1.0,24.745152,2007.0,OLYMPUS
-1.75581289815,-8.82706752363,9.0,15.0,28.0735,2009.0,CANON
-0.69948375004,-8.97277674321,9.0,5.0,28.0735,2008.0,CANON
0.36666461663,-8.99252784588,9.0,1.0,28.0735,2009.0,KODAK
1.42766581582,-8.88604356946,9.0,4.0,28.0735,2011.0,PANASONIC
3.4749315233,-8.30209918686,9.0,2.0,28.0735,2011.0,CANON
4.43245690871,-7.83283637978,9.0,1.0,28.0735,2013.0,SONY
5.32776031519,-7.25361771973,9.0,1.0,28.0735,2008.0,CANON
6.14827364543,-6.57257416701,9.0,5.0,28.0735,2011.0,CANON
6.88247869088,-5.79926608025,9.0,6.0,27.944112,2005.0,SONY
7.52006882209,-4.94454900987,9.0,1.0,27.944112,2005.0,SONY
2.46862571644,-8.65481871977,9.0,28.0,28.0735,2009.0,CANON
8.47108477563,-3.03985570777,9.0,4.0,27.7248,2010.0,PANASONIC
5.16522220912,7.37024284067,9.0,1.0,24.745152,2004.0,PANASONIC
8.05209367123,-4.02042130998,9.0,1.0,27.7248,2008.0,PANASONIC
6.00067000159,6.70760460463,9.0,13.0,24.745152,2005.0,CANON
6.75188154087,5.95080630319,9.0,16.0,24.745152,2006.0,CANON
7.96074493265,4.19839732723,9.0,32.0,24.745152,2007.0,FUJIFILM
7.40831146362,5.11047172558,9.0,5.0,24.745152,2006.0,CANON
8.40142699298,3.22738663342,9.0,1.0,24.745152,2006.0,KODAK
8.72417143449,2.21107050579,9.0,1.0,24.745152,2004.0,MINOLTA
8.92444763268,1.16371579498,9.0,16.0,25.0,2007.0,FUJIFILM
8.99944414874,0.100025065307,9.0,2.0,27.7248,2010.0,PANASONIC
8.77116041863,-2.01661719486,9.0,1.0,27.7248,2008.0,KODAK
-5.59276850703,-7.0513077104,9.0,1.0,24.745152,2004.0,OLYMPUS
-4.19216888363,9.07886116488,10.0,8.0,,1980.0,LUBITEL
-9.55201720297,2.95955526291,10.0,2.0,,2009.0,SAMSUNG
-9.80904801687,1.94488483018,10.0,2.0,,2007.0,NOKIA
-9.95860884803,0.90890583226,10.0,1.0,,2003.0,OLYMPUS
-9.1903324897,3.94180018884,10.0,2.0,,2010.0,HTC
-5.11820314964,8.59092524232,10.0,5.0,,2000.0,OLYMPUS
-8.16995533262,5.7664399644,10.0,2.0,,2002.0,BENQ
-7.52244235446,6.58884367881,10.0,2.0,,,APPLE
-6.7925119237,7.33905864306,10.0,2.0,,2007.0,NOKIA
-5.98816131088,8.00886534503,10.0,4.0,,,NORITSU
-9.99906107668,-0.137031328158,10.0,1.0,,2007.0,NOKIA
-8.72795657047,4.88085792704,10.0,2.0,,2010.0,HTC
-9.92996149973,-1.18146714467,10.0,1.0,,,SONY
0.137031328158,-9.99906107668,10.0,,,,
-9.46732718464,-3.22020433807,10.0,1.0,,2011.0,CANON
-9.07886116488,-4.19216888363,10.0,1.0,,2003.0,HP
-8.00886534503,-5.98816131088,10.0,1.0,,2003.0,KODAK
-7.33905864306,-6.7925119237,10.0,1.0,,2011.0,APPLE
-6.58884367881,-7.52244235446,10.0,1.0,,2010.0,HTC
-5.7664399644,-8.16995533262,10.0,1.0,,2003.0,PHILIPS
-4.88085792704,-8.72795657047,10.0,1.0,,,FUJIFILM
-3.94180018884,-9.1903324897,10.0,1.0,,,
-2.95955526291,-9.55201720297,10.0,1.0,,2008.0,CANON
-1.94488483018,-9.80904801687,10.0,1.0,,,SONY
-0.90890583226,-9.95860884803,10.0,1.0,,,CANON
1.18146714467,-9.92996149973,10.0,,,,
-9.75206718661,-2.2129585599,10.0,1.0,,2011.0,MOTOROLA
-3.22020433807,9.46732718464,10.0,12.0,,,NORITSU
8.59092524232,5.11820314964,10.0,1.0,21.163008,2001.0,OLYMPUS
-1.18146714467,9.92996149973,10.0,3.0,9.72,2011.0,ERICSSON
2.2129585599,-9.75206718661,10.0,,,,
4.19216888363,-9.07886116488,10.0,3.0,24.745152,2009.0,CANON
5.11820314964,-8.59092524232,10.0,1.0,24.745152,2006.0,PANASONIC
5.98816131088,-8.00886534503,10.0,1.0,24.745152,2007.0,CANON
6.7925119237,-7.33905864306,10.0,1.0,24.745152,2006.0,CANON
7.52244235446,-6.58884367881,10.0,4.0,24.745152,2008.0,CANON
8.72795657047,-4.88085792704,10.0,3.0,24.7104,2004.0,KODAK
9.1903324897,-3.94180018884,10.0,6.0,24.7104,2006.0,SONY
9.55201720297,-2.95955526291,10.0,25.0,22.515,2004.0,CANON
9.80904801687,-1.94488483018,10.0,1.0,21.163008,2004.0,CANON
9.95860884803,-0.90890583226,10.0,1.0,21.163008,2003.0,KODAK
-2.2129585599,9.75206718661,10.0,11.0,9.6302,2009.0,APPLE
9.92996149973,1.18146714467,10.0,1.0,21.163008,2003.0,MINOLTA
9.99906107668,0.137031328158,10.0,2.0,21.163008,2003.0,CANON
9.46732718464,3.22020433807,10.0,1.0,21.163008,2001.0,CANON
9.07886116488,4.19216888363,10.0,1.0,21.163008,2003.0,FUJIFILM
8.00886534503,5.98816131088,10.0,1.0,21.163008,2003.0,CANON
7.33905864306,6.7925119237,10.0,1.0,21.163008,2003.0,PENTAX
6.58884367881,7.52244235446,10.0,1.0,17.9463,2013.0,APPLE
5.7664399644,8.16995533262,10.0,2.0,17.28,2002.0,HP
4.88085792704,8.72795657047,10.0,1.0,15.5268,2010.0,APPLE
2.95955526291,9.55201720297,10.0,1.0,15.5268,2010.0,APPLE
1.94488483018,9.80904801687,10.0,1.0,15.5268,2012.0,APPLE
0.90890583226,9.95860884803,10.0,2.0,15.485952,2003.0,NIKON
-0.137031328158,9.99906107668,10.0,1.0,15.485952,2005.0,CANON
9.75206718661,2.2129585599,10.0,2.0,21.163008,2002.0,CANON
